lng,lat
113.363011,23.08446
113.36483,23.085053
113.366421,23.085522
113.366889,23.085668
113.367029,23.085714
113.367184,23.085789
113.36729,23.085862
113.367397,23.08596
113.367485,23.086066
113.367606,23.086233
113.367738,23.086466
113.36782,23.086724
113.367883,23.086979
113.367936,23.087301
113.367968,23.087686
113.367995,23.08814
113.368003,23.088564
113.368074,23.093999
113.368176,23.09908
113.368177,23.099122
113.368314,23.103184
113.368287,23.103693
113.368147,23.104332
113.367863,23.10504
113.367541,23.105578
113.367026,23.106126
113.366291,23.106715
113.365309,23.107357
113.364593,23.107811
113.364191,23.108097
113.363845,23.108469
113.363595,23.108857
113.363213,23.109629
113.363145,23.110112
113.363184,23.110669
113.363478,23.11301
113.36364,23.114105
113.363838,23.1154
113.363862,23.115649
113.363868,23.115743
113.363863,23.115839
113.36385,23.115942
113.362762,23.120408
113.362641,23.12134
113.362649,23.121803
113.362686,23.122398
113.36283,23.124197
113.362879,23.125317
113.362931,23.126423
113.363066,23.127282
113.363103,23.127445
113.363758,23.129125
113.363994,23.12981
113.364176,23.130792
113.364184,23.131816
113.363865,23.132529
113.363232,23.13315
113.362824,23.133445
113.362558,23.133593
113.362413,23.133653
113.36222,23.133697
113.360176,23.133904
113.359543,23.133967
113.352199,23.135567
113.349539,23.136636
113.348628,23.137138
113.347024,23.138208
113.346707,23.138484
113.346369,23.138751
113.345918,23.139155
113.34543,23.139515
113.344799,23.140029
113.343823,23.140607
113.342883,23.141222
113.342663,23.14132
113.342448,23.141375
113.342239,23.141409
113.341279,23.141389
113.339975,23.141389
113.338484,23.141419
113.33681,23.141525
113.334006,23.141808
113.333649,23.14195
113.33331,23.142142
113.333059,23.142498
113.332461,23.143787
113.332412,23.144364
113.332514,23.145637
113.332878,23.147028
113.332846,23.14762
113.332342,23.14833
113.331967,23.148705
113.331602,23.149031
113.331237,23.149267
113.329762,23.150067
113.326833,23.151539
113.325729,23.152156
113.324255,23.152724
113.323633,23.152961
113.322458,23.153253
113.321744,23.153382
113.320956,23.153451
113.320183,23.153327
113.314712,23.151723
113.314256,23.151689
113.313918,23.151669
113.312677,23.151654
